"REGION","CERCLE","COMMUNE","VFQ","CV","BV","ELECTEURS_M","ELECTEURS_F","ELECTEURS"
"BAMAKO","BAMAKO","COMMUNE I","BANCONI","BANCONI SIKORONI","001",252,238,490
"BAMAKO","BAMAKO","COMMUNE I","BANCONI","BANCONI SIKORONI","002",248,242,490
"BAMAKO","BAMAKO","COMMUNE I","BANCONI","BANCONI SIKORONI","003",242,248,490
"BAMAKO","BAMAKO","COMMUNE I","BANCONI","BANCONI SIKORONI","004",264,226,490
"BAMAKO","BAMAKO","COMMUNE I","BANCONI","BANCONI SIKORONI","005",266,224,490
"BAMAKO","BAMAKO","COMMUNE I","BANCONI","BANCONI SIKORONI","006",266,224,490
"BAMAKO","BAMAKO","COMMUNE I","BANCONI","BANCONI SIKORONI","007",267,223,490
"BAMAKO","BAMAKO","COMMUNE I","BANCONI","BANCONI SIKORONI","008",280,210,490
"BAMAKO","BAMAKO","COMMUNE I","BANCONI","BANCONI SIKORONI","009",273,217,490
"BAMAKO","BAMAKO","COMMUNE I","BANCONI","ECOLE DE BASE FARADA","001",253,234,487
"BAMAKO","BAMAKO","COMMUNE I","BANCONI","ECOLE DE BASE FARADA","002",260,227,487
"BAMAKO","BAMAKO","COMMUNE I","BANCONI","ECOLE DE BASE FARADA","003",250,237,487
"BAMAKO","BAMAKO","COMMUNE I","BANCONI","ECOLE DE BASE FARADA","004",238,249,487
"BAMAKO","BAMAKO","COMMUNE I","BANCONI","ECOLE DE BASE FARADA","005",251,236,487
"BAMAKO","BAMAKO","COMMUNE I","BANCONI","ECOLE DE BASE FARADA","006",233,254,487
"BAMAKO","BAMAKO","COMMUNE I","BANCONI","ECOLE DE BASE FARADA","007",262,225,487
"BAMAKO","BAMAKO","COMMUNE I","BANCONI","ECOLE DE BASE FARADA","008",250,237,487
"BAMAKO","BAMAKO","COMMUNE I","BANCONI","ECOLE DE BASE FARADA","009",255,232,487
"BAMAKO","BAMAKO","COMMUNE I","BANCONI","ECOLE DE BASE FARADA","010",250,236,486
"BAMAKO","BAMAKO","COMMUNE I","BANCONI","ECOLE DE BASE FARADA","011",251,235,486
"BAMAKO","BAMAKO","COMMUNE I","BANCONI","ECOLE DE BASE FARADA","012",241,245,486
"BAMAKO","BAMAKO","COMMUNE I","BANCONI","ECOLE DE BASE FARADA","013",256,230,486
"BAMAKO","BAMAKO","COMMUNE I","BANCONI","ECOLE DE BASE FARADA","014",248,238,486
"BAMAKO","BAMAKO","COMMUNE I","BANCONI","ECOLE DE BASE FARADA","015",243,243,486
"BAMAKO","BAMAKO","COMMUNE I","BANCONI","ECOLE DE BASE FARADA","016",258,228,486
"BAMAKO","BAMAKO","COMMUNE I","BANCONI","ECOLE DE BASE FARADA","017",258,228,486
"BAMAKO","BAMAKO","COMMUNE I","BANCONI","ECOLE DE BASE FARADA","018",256,230,486
"BAMAKO","BAMAKO","COMMUNE I","BANCONI","ECOLE DE BASE FARADA","019",266,220,486
"BAMAKO","BAMAKO","COMMUNE I","BANCONI","ECOLE DE BASE FARADA","020",262,224,486
"BAMAKO","BAMAKO","COMMUNE I","BANCONI","ECOLE DE BASE OLIVIER","001",257,211,468
"BAMAKO","BAMAKO","COMMUNE I","BANCONI","ECOLE DE BASE OLIVIER","002",226,241,467
"BAMAKO","BAMAKO","COMMUNE I","BANCONI","ECOLE DE BASE OLIVIER","003",234,233,467
"BAMAKO","BAMAKO","COMMUNE I","BANCONI","ECOLE DE BASE OLIVIER","004",238,229,467
