code,region,cercle,commune,vfq,gps,longitude,latitude,parent_code
10000000,KAYES,,,,,,,
20000000,KOULIKORO,,,,,,,
30000000,SIKASSO,,,,,,,
40000000,SÉGOU,,,,,,,
50000000,MOPTI,,,,,,,
60000000,TOMBOUCTOU,,,,,,,
70000000,GAO,,,,,,,
80000000,KIDAL,,,,,,,
90000000,BAMAKO,,,,,,,
99999999,HORS DU MALI,,,,,,,
11000000,KAYES,KAYES,,,,,,10000000
12000000,KAYES,BAFOULABE,,,,,,10000000
13000000,KAYES,DIEMA,,,,,,10000000
15000000,KAYES,KITA,,,,,,10000000
17000000,KAYES,YELIMANE,,,,,,10000000
14000000,KAYES,KENIEBA,,,,,,10000000
16000000,KAYES,NIORO,,,,,,10000000
21000000,KOULIKORO,KOULIKORO,,,,,,20000000
22000000,KOULIKORO,BANAMBA,,,,,,20000000
23000000,KOULIKORO,DIOILA,,,,,,20000000
24000000,KOULIKORO,KANGABA,,,,,,20000000
25000000,KOULIKORO,KATI,,,,,,20000000
26000000,KOULIKORO,KOLOKANI,,,,,,20000000
27000000,KOULIKORO,NARA,,,,,,20000000
31000000,SIKASSO,SIKASSO,,,,,,30000000
32000000,SIKASSO,BOUGOUNI,,,,,,30000000
33000000,SIKASSO,KADIOLO,,,,,,30000000
34000000,SIKASSO,KOLONDIEBA,,,,,,30000000
35000000,SIKASSO,KOUTIALA,,,,,,30000000
36000000,SIKASSO,YANFOLILA,,,,,,30000000
37000000,SIKASSO,YOROSSO,,,,,,30000000
41000000,SÉGOU,SEGOU,,,,,,40000000
42000000,SÉGOU,BARAOUELI,,,,,,40000000
43000000,SÉGOU,BLA,,,,,,40000000
44000000,SÉGOU,MACINA,,,,,,40000000
45000000,SÉGOU,NIONO,,,,,,40000000
46000000,SÉGOU,SAN,,,,,,40000000
47000000,SÉGOU,TOMINIAN,,,,,,40000000
56000000,MOPTI,KORO,,,,,,50000000
51000000,MOPTI,MOPTI,,,,,,50000000
52000000,MOPTI,BANDIAGARA,,,,,,50000000
53000000,MOPTI,BANKASS,,,,,,50000000
54000000,MOPTI,DJENNE,,,,,,50000000
55000000,MOPTI,DOUENTZA,,,,,,50000000
57000000,MOPTI,TENENKOU,,,,,,50000000
58000000,MOPTI,YOUVAROU,,,,,,50000000
61000000,TOMBOUCTOU,TOMBOUCTOU,,,,,,60000000
62000000,TOMBOUCTOU,DIRE,,,,,,60000000
63000000,TOMBOUCTOU,GOUNDAM,,,,,,60000000
64000000,TOMBOUCTOU,GOURMA-RHAROUS,,,,,,60000000
65000000,TOMBOUCTOU,NIAFUNKE,,,,,,60000000
72000000,GAO,ANSONGO,,,,,,70000000
71000000,GAO,GAO,,,,,,70000000
73000000,GAO,BOUREM,,,,,,70000000
74000000,GAO,MENAKA,,,,,,70000000
81000000,KIDAL,KIDAL,,,,,,80000000
82000000,KIDAL,ABEIBARA,,,,,,80000000
83000000,KIDAL,TESSALIT,,,,,,80000000
84000000,KIDAL,TIN-ESSAKO,,,,,,80000000
91000000,BAMAKO,DISTRICT DE BAMAKO,,,,,,90000000
11001000,KAYES,KAYES,BANGASSI,,,,,11000000
11004000,KAYES,KAYES,COLOMBINE,,,,,11000000
11007000,KAYES,KAYES,DIAMOU,,,,,11000000
11010000,KAYES,KAYES,DJELEBOU,,,,,11000000
11013000,KAYES,KAYES,FALEME,,,,,11000000
11016000,KAYES,KAYES,GORY GOPELA,,,,,11000000
11019000,KAYES,KAYES,GUIDIMAKAN KERI KAFFO,,,,,11000000
11034000,KAYES,KAYES,KOUSSANE,,,,,11000000
11040000,KAYES,KAYES,LOGO,,,,,11000000
11043000,KAYES,KAYES,MARENA DIOMBOUGOU,,,,,11000000
11046000,KAYES,KAYES,MARINTOUMANIA,,,,,11000000
11049000,KAYES,KAYES,SADIOLA,,,,,11000000
11022000,KAYES,KAYES,HAWA DEMBAYA,,,,,11000000
11025000,KAYES,KAYES,KARAKORO,,,,,11000000
11028000,KAYES,KAYES,KEMENE TAMBO,,,,,11000000
11031000,KAYES,KAYES,KHOULOUM,,,,,11000000
11037000,KAYES,KAYES,LIBERTE DEMBAYA,,,,,11000000
11052000,KAYES,KAYES,SAHEL,,,,,11000000
11055000,KAYES,KAYES,SAME DIONGOMA,,,,,11000000
11058000,KAYES,KAYES,SEGALA,,,,,11000000
11061000,KAYES,KAYES,SERO DIAMANOU,,,,,11000000
11064000,KAYES,KAYES,SONY,,,,,11000000
11067000,KAYES,KAYES,TAFASSIRGA,,,,,11000000
11091000,KAYES,KAYES,KAYES COMMUNE,,,,,11000000
